Date,Time,Location,Operator,Flight,Route,Type,Registration,cn,Aboard,Fatalities,Ground
01/19/1930,18:23,Oceanside California,Maddux Airlines,7,"Aqua Caliente, Mexico - Los Angeles",Ford 5-AT-C Tri Motor,NC9689,5-AT-046,16.0,16.0,0.0
03/31/1931,10:45,Bazaar Kansas,Trans Continental and Western Air,599,Kansas City - Wichita -  Los Angeles,Fokker F10A Trimotor,NC-999,1063,8.0,8.0,0.0
08/31/1934,23:42,Amazonia Missouri,Rapid Air Transport,6,Omaha - St. Joseph,Stinson  SM-6000B,NC10809,5004,5.0,5.0,0.0
05/06/1935,03:30,Atlanta Missouri,Trans Continental and Western Air,6,Los Angeles - Albuquerque - Kanasas City -  Washington,Douglas DC-2-112,NC13785,1295,14.0,5.0,0.0
08/14/1935,23:45,Near Gilmer Texas,Delta Air Lines,4,Dallas -  Atlanta,Stinson Model A,NC14599,9103,4.0,4.0,0.0
10/07/1935,02:19,Near Cheyenne Wyoming,United Air Lines,4,Salt Lake City - Cheyenne,Boeing 247D,NC13317,1698,12.0,12.0,0.0
01/14/1936,19:32,Goodwin Arkansas,American Airlines,1,"Newark, NJ - Fort Worth, TX",Douglas DC-2-120,NC14274,1307,17.0,17.0,0.0
04/07/1936,10:20,Uniontown Pennsylvania,Trans Continental and Western Air,1,Newark - Los Angeles,Douglas DC-2-112,NC13721,1247,15.0,13.0,0.0
12/15/1936,03:14,Near Salt Lake City Utah,Western Air Express,6,Burbank - Las Vegas - Salt Lake City,Boeing 247D,NC13370,1957,7.0,7.0,0.0
12/19/1936,20:47,Near Milford Pennsylvania,Eastern Air Lines,14,"Miami, FL - Charleston, SC - Newark, NJ",Douglas DC-2-112,NC13732,1258,14.0,14.0,0.0
12/27/1936,19:38,Newhall California,United Air Lines,34,Oakland - San Francisco - Los Angeles,Boeing 247-D,NC13355,1737,12.0,12.0,0.0
01/12/1937,11:07,Near Newhall California,Western Air Express,7,Salt Lake City - Burbank,Boeing 247B,NC13315,1696,13.0,5.0,0.0
02/09/1937,20:50,Off San Francisco California,United Air Lines,23,Los Angeles - San Francisco - Oakland,Douglas DC-3A,NC16073,1913,11.0,11.0,0.0
03/25/1937,18:40,Clifton Pennsylvania,Trans Continental and Western Air,15A,Newark - Camden - Pittsburg,Douglas DC-2-112,NC13730,1256,13.0,13.0,0.0
05/06/1937,19:25,Lakehurst New Jersey,Deutsche Zeppelin Reederei,LZ 129,Frankfurt - Lakehurst N.J.,Zeppelin LZ-129,D-LZ-129,D-LZ129,97.0,35.0,1.0
08/10/1937,04:40,Daytona Beach Florida,Eastern Air Lines,7,Chicago - Daytona,Douglas DC-2,NC-13739,1289,9.0,4.0,0.0
10/17/1937,21:00,Haydens Peak Wyoming,United Air Lines,1,Cheyenne - Salt Lake City,Douglas DC-3,NC16074,1914,19.0,19.0,0.0
01/10/1938,15:07,Bozeman Montana,Northwest Orient Airlines,2,Seattle - Billings - Chicago,Lockheed 14H Super Electra,NC-17388,1407,10.0,10.0,0.0
01/11/1938,19:40,Pago Pago US Samoa,Pan American World Airways,1,Honolulu - Pago Pago - Auckland,Sikorsky S-42 (flying boat),NC16734,4207,7.0,7.0,0.0
